Source,Target,Type,Id,Label,timeset,Weight
n0 , n35,Undirected,0,,,2
n0 , n98,Undirected,1,,,2
n0 , n496,Undirected,2,,,2
n0 , n474,Undirected,3,,,2
n0 , n495,Undirected,4,,,2
n0 , n29,Undirected,5,,,2
n0 , n34,Undirected,6,,,2
n0 , n268,Undirected,7,,,2
n0 , n189,Undirected,8,,,2
n0 , n384,Undirected,9,,,2
n0 , n196,Undirected,10,,,2
n0 , n14,Undirected,11,,,2
n0 , n339,Undirected,12,,,2
n0 , n489,Undirected,13,,,2
n0 , n116,Undirected,14,,,2
n0 , n271,Undirected,15,,,2
n0 , n347,Undirected,16,,,2
n0 , n428,Undirected,17,,,2
n0 , n110,Undirected,18,,,2
n0 , n50,Undirected,19,,,2
n0 , n82,Undirected,20,,,2
n0 , n431,Undirected,21,,,2
n0 , n477,Undirected,22,,,2
n0 , n46,Undirected,23,,,2
n0 , n260,Undirected,24,,,2
n0 , n171,Undirected,25,,,2
n0 , n284,Undirected,26,,,2
n0 , n58,Undirected,27,,,2
n0 , n155,Undirected,28,,,2
n0 , n193,Undirected,29,,,2
n0 , n53,Undirected,30,,,2
n0 , n5,Undirected,31,,,2
n0 , n386,Undirected,32,,,2
n0 , n272,Undirected,33,,,2
n0 , n38,Undirected,34,,,2
n0 , n258,Undirected,35,,,2
n0 , n490,Undirected,36,,,2
n0 , n146,Undirected,37,,,2
n0 , n151,Undirected,38,,,2
n0 , n445,Undirected,39,,,2
n0 , n232,Undirected,40,,,2
n0 , n325,Undirected,41,,,2
n0 , n120,Undirected,42,,,2
n0 , n293,Undirected,43,,,2
n0 , n351,Undirected,44,,,2
n0 , n205,Undirected,45,,,2
n0 , n295,Undirected,46,,,2
n0 , n249,Undirected,47,,,2
n0 , n409,Undirected,48,,,2
n0 , n453,Undirected,49,,,2
n0 , n87,Undirected,50,,,2
n0 , n20,Undirected,51,,,2
n0 , n75,Undirected,52,,,2
n0 , n115,Undirected,53,,,2
n0 , n67,Undirected,54,,,2
n0 , n324,Undirected,55,,,2
n0 , n104,Undirected,56,,,2
n0 , n406,Undirected,57,,,2
n0 , n203,Undirected,58,,,2
n0 , n172,Undirected,59,,,2
n0 , n465,Undirected,60,,,2
n0 , n88,Undirected,61,,,2
n0 , n245,Undirected,62,,,2
n0 , n257,Undirected,63,,,2
n0 , n381,Undirected,64,,,2
n0 , n411,Undirected,65,,,2
n0 , n173,Undirected,66,,,2
n0 , n418,Undirected,67,,,2
n0 , n407,Undirected,68,,,2
n0 , n159,Undirected,69,,,2
n0 , n27,Undirected,70,,,2
n0 , n62,Undirected,71,,,2
n0 , n170,Undirected,72,,,2
n0 , n410,Undirected,73,,,2
n0 , n448,Undirected,74,,,2
n0 , n122,Undirected,75,,,2
n0 , n228,Undirected,76,,,2
n0 , n39,Undirected,77,,,2
n0 , n262,Undirected,78,,,2
n0 , n25,Undirected,79,,,2
n0 , n479,Undirected,80,,,2
n0 , n204,Undirected,81,,,2
n0 , n97,Undirected,82,,,2
n0 , n433,Undirected,83,,,2
n0 , n275,Undirected,84,,,2
n0 , n148,Undirected,85,,,2
n0 , n161,Undirected,86,,,2
n0 , n198,Undirected,87,,,2
n0 , n373,Undirected,88,,,2
n0 , n11,Undirected,89,,,2
n0 , n1,Undirected,90,,,2
n0 , n158,Undirected,91,,,2
n0 , n81,Undirected,92,,,2
n0 , n89,Undirected,93,,,2
n0 , n499,Undirected,94,,,2
n0 , n313,Undirected,95,,,2
n0 , n292,Undirected,96,,,2
n0 , n180,Undirected,97,,,2
n0 , n263,Undirected,98,,,2
n0 , n305,Undirected,99,,,2
n0 , n323,Undirected,100,,,2
n0 , n404,Undirected,101,,,2
n0 , n464,Undirected,102,,,2
n0 , n179,Undirected,103,,,2
n0 , n7,Undirected,104,,,2
n0 , n440,Undirected,105,,,2
n0 , n377,Undirected,106,,,2
n0 , n229,Undirected,107,,,2
n0 , n8,Undirected,108,,,2
n0 , n127,Undirected,109,,,2
n0 , n30,Undirected,110,,,2
n0 , n219,Undirected,111,,,2
n0 , n492,Undirected,112,,,2
n0 , n124,Undirected,113,,,2
n0 , n289,Undirected,114,,,2
n0 , n135,Undirected,115,,,2
n0 , n498,Undirected,116,,,2
n0 , n319,Undirected,117,,,2
n0 , n194,Undirected,118,,,2
n0 , n321,Undirected,119,,,2
n0 , n396,Undirected,120,,,2
n0 , n442,Undirected,121,,,2
n0 , n308,Undirected,122,,,2
n0 , n185,Undirected,123,,,2
n0 , n253,Undirected,124,,,2
n0 , n329,Undirected,125,,,2
n0 , n86,Undirected,126,,,2
n0 , n365,Undirected,127,,,2
n0 , n252,Undirected,128,,,2
n0 , n341,Undirected,129,,,2
n0 , n298,Undirected,130,,,2
n0 , n4,Undirected,131,,,2
n0 , n344,Undirected,132,,,2
n0 , n405,Undirected,133,,,2
n0 , n72,Undirected,134,,,2
n0 , n23,Undirected,135,,,2
n0 , n19,Undirected,136,,,2
n0 , n399,Undirected,137,,,2
n0 , n24,Undirected,138,,,2
n0 , n279,Undirected,139,,,2
n0 , n394,Undirected,140,,,2
n0 , n238,Undirected,141,,,2
n0 , n375,Undirected,142,,,2
n0 , n389,Undirected,143,,,2
n0 , n103,Undirected,144,,,2
n0 , n493,Undirected,145,,,2
n0 , n3,Undirected,146,,,2
n0 , n59,Undirected,147,,,2
n0 , n214,Undirected,148,,,2
n0 , n136,Undirected,149,,,2
n0 , n147,Undirected,150,,,2
n0 , n199,Undirected,151,,,2
n0 , n370,Undirected,152,,,2
n0 , n26,Undirected,153,,,2
n0 , n108,Undirected,154,,,2
n0 , n140,Undirected,155,,,2
n0 , n77,Undirected,156,,,2
n0 , n476,Undirected,157,,,2
n0 , n294,Undirected,158,,,2
n0 , n468,Undirected,159,,,2
n0 , n51,Undirected,160,,,2
n0 , n315,Undirected,161,,,2
n0 , n425,Undirected,162,,,2
n0 , n482,Undirected,163,,,2
