Source,Target,Type,Id,Label,timeset,Weight
n1,n98,Undirected,0,,,2
 n1,n7,Undirected,1,,,2
   n2,n20,Undirected,2,,,2
       n5,n73,Undirected,3,,,2
 n5,n38,Undirected,4,,,2
 n5,n11,Undirected,5,,,2
   n6,n87,Undirected,6,,,2
 n6,n67,Undirected,7,,,2
   n7,n39,Undirected,8,,,2
 n7,n90,Undirected,9,,,2
     n9,n41,Undirected,10,,,2
   n10,n0,Undirected,11,,,2
 n10,n52,Undirected,12,,,2
 n10,n42,Undirected,13,,,2
 n10,n93,Undirected,14,,,2
       n13,n50,Undirected,15,,,2
 n13,n56,Undirected,16,,,2
     n15,n27,Undirected,17,,,2
   n16,n34,Undirected,18,,,2
 n16,n7,Undirected,19,,,2
 n16,n36,Undirected,20,,,2
   n17,n42,Undirected,21,,,2
     n19,n28,Undirected,22,,,2
   n20,n32,Undirected,23,,,2
   n21,n85,Undirected,24,,,2
   n22,n70,Undirected,25,,,2
 n22,n36,Undirected,26,,,2
   n23,n6,Undirected,27,,,2
 n23,n12,Undirected,28,,,2
           n28,n79,Undirected,29,,,2
 n28,n27,Undirected,30,,,2
   n29,n52,Undirected,31,,,2
 n29,n51,Undirected,32,,,2
   n30,n5,Undirected,33,,,2
     n32,n87,Undirected,34,,,2
   n33,n6,Undirected,35,,,2
 n33,n2,Undirected,36,,,2
   n34,n80,Undirected,37,,,2
 n34,n18,Undirected,38,,,2
   n35,n16,Undirected,39,,,2
 n35,n1,Undirected,40,,,2
       n38,n59,Undirected,41,,,2
   n39,n22,Undirected,42,,,2
       n42,n83,Undirected,43,,,2
 n42,n20,Undirected,44,,,2
       n45,n6,Undirected,45,,,2
   n46,n72,Undirected,46,,,2
     n48,n96,Undirected,47,,,2
 n48,n26,Undirected,48,,,2
 n48,n73,Undirected,49,,,2
     n50,n80,Undirected,50,,,2
   n51,n0,Undirected,51,,,2
 n51,n28,Undirected,52,,,2
   n52,n74,Undirected,53,,,2
 n52,n87,Undirected,54,,,2
   n53,n15,Undirected,55,,,2
     n55,n39,Undirected,56,,,2
 n55,n60,Undirected,57,,,2
     n57,n77,Undirected,58,,,2
 n57,n61,Undirected,59,,,2
     n59,n63,Undirected,60,,,2
   n60,n21,Undirected,61,,,2
 n60,n44,Undirected,62,,,2
 n60,n42,Undirected,63,,,2
     n62,n89,Undirected,64,,,2
   n63,n3,Undirected,65,,,2
   n64,n52,Undirected,66,,,2
   n65,n63,Undirected,67,,,2
   n66,n86,Undirected,68,,,2
     n68,n62,Undirected,69,,,2
   n69,n55,Undirected,70,,,2
   n70,n64,Undirected,71,,,2
         n74,n13,Undirected,72,,,2
 n74,n51,Undirected,73,,,2
   n75,n5,Undirected,74,,,2
 n75,n54,Undirected,75,,,2
 n75,n57,Undirected,76,,,2
   n76,n57,Undirected,77,,,2
 n76,n7,Undirected,78,,,2
   n77,n69,Undirected,79,,,2
 n77,n50,Undirected,80,,,2
   n78,n71,Undirected,81,,,2
 n78,n1,Undirected,82,,,2
     n80,n20,Undirected,83,,,2
 n80,n82,Undirected,84,,,2
   n81,n28,Undirected,85,,,2
 n81,n0,Undirected,86,,,2
   n82,n70,Undirected,87,,,2
 n82,n61,Undirected,88,,,2
   n83,n55,Undirected,89,,,2
 n83,n23,Undirected,90,,,2
         n87,n94,Undirected,91,,,2
   n88,n99,Undirected,92,,,2
   n89,n36,Undirected,93,,,2
 n89,n83,Undirected,94,,,2
         n93,n44,Undirected,95,,,2
   n94,n16,Undirected,96,,,2
       n97,n74,Undirected,97,,,2
     n99,n78,Undirected,98,,,2
 n99,n71,Undirected,99,,,2


