Source,Target,Type,Id,Label,timeset,Weight
n0,n23,Undirected,0,,,2
   n1,n0,Undirected,1,,,2
     n3,n22,Undirected,2,,,2
   n4,n8,Undirected,3,,,2
   n5,n15,Undirected,4,,,2
 n5,n18,Undirected,5,,,2
     n7,n17,Undirected,6,,,2
   n8,n23,Undirected,7,,,2
   n9,n13,Undirected,8,,,2
 n9,n24,Undirected,9,,,2
 n9,n16,Undirected,10,,,2
       n12,n25,Undirected,11,,,2
   n13,n3,Undirected,12,,,2
   n14,n5,Undirected,13,,,2
 n14,n4,Undirected,14,,,2
   n15,n6,Undirected,15,,,2
 n15,n2,Undirected,16,,,2
     n17,n16,Undirected,17,,,2
     n19,n7,Undirected,18,,,2
 n19,n15,Undirected,19,,,2
     n21,n7,Undirected,20,,,2
   n22,n23,Undirected,21,,,2
 n22,n1,Undirected,22,,,2
 n22,n3,Undirected,23,,,2
   n23,n7,Undirected,24,,,2
     n25,n19,Undirected,25,,,2
   n26,n24,Undirected,26,,,2
 n26,n9,Undirected,27,,,2
     n28,n26,Undirected,28,,,2
 n28,n21,Undirected,29,,,2

