Source,Target,Type,Id,Label,timeset,Weight
n1,n433,Undirected,0,,,2
     n3,n383,Undirected,1,,,2
 n3,n493,Undirected,2,,,2
   n4,n254,Undirected,3,,,2
   n5,n228,Undirected,4,,,2
   n6,n222,Undirected,5,,,2
   n7,n226,Undirected,6,,,2
 n7,n142,Undirected,7,,,2
 n7,n357,Undirected,8,,,2
   n8,n243,Undirected,9,,,2
 n8,n111,Undirected,10,,,2
   n9,n404,Undirected,11,,,2
   n10,n72,Undirected,12,,,2
   n11,n147,Undirected,13,,,2
         n15,n284,Undirected,14,,,2
       n18,n30,Undirected,15,,,2
 n18,n180,Undirected,16,,,2
   n19,n375,Undirected,17,,,2
   n20,n182,Undirected,18,,,2
     n22,n302,Undirected,19,,,2
       n25,n325,Undirected,20,,,2
   n26,n332,Undirected,21,,,2
   n27,n141,Undirected,22,,,2
   n28,n443,Undirected,23,,,2
 n28,n14,Undirected,24,,,2
   n29,n208,Undirected,25,,,2
 n29,n42,Undirected,26,,,2
 n29,n2,Undirected,27,,,2
 n29,n212,Undirected,28,,,2
       n32,n263,Undirected,29,,,2
     n34,n87,Undirected,30,,,2
 n34,n107,Undirected,31,,,2
     n36,n161,Undirected,32,,,2
 n36,n358,Undirected,33,,,2
 n36,n277,Undirected,34,,,2
   n37,n137,Undirected,35,,,2
 n37,n391,Undirected,36,,,2
     n39,n354,Undirected,37,,,2
 n39,n261,Undirected,38,,,2
       n42,n298,Undirected,39,,,2
 n42,n36,Undirected,40,,,2
   n43,n473,Undirected,41,,,2
 n43,n143,Undirected,42,,,2
   n44,n187,Undirected,43,,,2
   n45,n80,Undirected,44,,,2
 n45,n495,Undirected,45,,,2
     n47,n492,Undirected,46,,,2
 n47,n228,Undirected,47,,,2
   n48,n229,Undirected,48,,,2
 n48,n226,Undirected,49,,,2
 n48,n50,Undirected,50,,,2
   n49,n46,Undirected,51,,,2
 n49,n78,Undirected,52,,,2
       n52,n436,Undirected,53,,,2
 n52,n347,Undirected,54,,,2
       n55,n157,Undirected,55,,,2
 n55,n477,Undirected,56,,,2
   n56,n217,Undirected,57,,,2
 n56,n480,Undirected,58,,,2
   n57,n432,Undirected,59,,,2
   n58,n207,Undirected,60,,,2
       n61,n365,Undirected,61,,,2
     n63,n191,Undirected,62,,,2
 n63,n246,Undirected,63,,,2
   n64,n399,Undirected,64,,,2
     n66,n348,Undirected,65,,,2
 n66,n308,Undirected,66,,,2
   n67,n236,Undirected,67,,,2
 n67,n98,Undirected,68,,,2
     n69,n441,Undirected,69,,,2
     n71,n414,Undirected,70,,,2
 n71,n325,Undirected,71,,,2
     n73,n315,Undirected,72,,,2
 n73,n283,Undirected,73,,,2
   n74,n283,Undirected,74,,,2
   n75,n338,Undirected,75,,,2
   n76,n433,Undirected,76,,,2
   n77,n454,Undirected,77,,,2
   n78,n226,Undirected,78,,,2
       n81,n339,Undirected,79,,,2
 n81,n11,Undirected,80,,,2
   n82,n447,Undirected,81,,,2
   n83,n315,Undirected,82,,,2
 n83,n425,Undirected,83,,,2
   n84,n70,Undirected,84,,,2
     n86,n364,Undirected,85,,,2
 n86,n242,Undirected,86,,,2
               n93,n122,Undirected,87,,,2
 n93,n350,Undirected,88,,,2
   n94,n437,Undirected,89,,,2
 n94,n93,Undirected,90,,,2
   n95,n351,Undirected,91,,,2
   n96,n77,Undirected,92,,,2
 n96,n141,Undirected,93,,,2
   n97,n189,Undirected,94,,,2
 n97,n287,Undirected,95,,,2
   n98,n162,Undirected,96,,,2
 n98,n84,Undirected,97,,,2
   n99,n110,Undirected,98,,,2
     n101,n228,Undirected,99,,,2
 n101,n279,Undirected,100,,,2
     n103,n325,Undirected,101,,,2
   n104,n213,Undirected,102,,,2
 n104,n121,Undirected,103,,,2
   n105,n17,Undirected,104,,,2
