Source,Target,Type,Id,Label,timeset,Weight
n0,n7,Undirected,0,,,2
 n0,n10,Undirected,1,,,2
 n0,n15,Undirected,2,,,2
 n0,n16,Undirected,3,,,2
 n0,n22,Undirected,4,,,2
   n1,n4,Undirected,5,,,2
 n1,n5,Undirected,6,,,2
 n1,n7,Undirected,7,,,2
 n1,n16,Undirected,8,,,2
 n1,n19,Undirected,9,,,2
 n1,n24,Undirected,10,,,2
 n1,n26,Undirected,11,,,2
   n2,n0,Undirected,12,,,2
 n2,n5,Undirected,13,,,2
 n2,n10,Undirected,14,,,2
 n2,n12,Undirected,15,,,2
   n3,n0,Undirected,16,,,2
 n3,n9,Undirected,17,,,2
 n3,n20,Undirected,18,,,2
 n3,n21,Undirected,19,,,2
 n3,n24,Undirected,20,,,2
 n3,n25,Undirected,21,,,2
 n3,n26,Undirected,22,,,2
 n3,n29,Undirected,23,,,2
   n4,n20,Undirected,24,,,2
 n4,n23,Undirected,25,,,2
 n4,n24,Undirected,26,,,2
   n5,n8,Undirected,27,,,2
 n5,n12,Undirected,28,,,2
 n5,n19,Undirected,29,,,2
 n5,n21,Undirected,30,,,2
 n5,n25,Undirected,31,,,2
 n5,n26,Undirected,32,,,2
 n5,n29,Undirected,33,,,2
   n6,n2,Undirected,34,,,2
 n6,n3,Undirected,35,,,2
 n6,n4,Undirected,36,,,2
 n6,n5,Undirected,37,,,2
 n6,n11,Undirected,38,,,2
 n6,n20,Undirected,39,,,2
   n7,n18,Undirected,40,,,2
 n7,n19,Undirected,41,,,2
 n7,n21,Undirected,42,,,2
 n7,n24,Undirected,43,,,2
 n7,n26,Undirected,44,,,2
   n8,n5,Undirected,45,,,2
 n8,n13,Undirected,46,,,2
 n8,n15,Undirected,47,,,2
 n8,n17,Undirected,48,,,2
 n8,n19,Undirected,49,,,2
 n8,n21,Undirected,50,,,2
 n8,n22,Undirected,51,,,2
 n8,n25,Undirected,52,,,2
 n8,n26,Undirected,53,,,2
   n9,n4,Undirected,54,,,2
 n9,n8,Undirected,55,,,2
 n9,n17,Undirected,56,,,2
 n9,n28,Undirected,57,,,2
 n9,n29,Undirected,58,,,2
   n10,n1,Undirected,59,,,2
 n10,n4,Undirected,60,,,2
 n10,n8,Undirected,61,,,2
 n10,n15,Undirected,62,,,2
 n10,n17,Undirected,63,,,2
 n10,n20,Undirected,64,,,2
   n11,n1,Undirected,65,,,2
 n11,n6,Undirected,66,,,2
 n11,n7,Undirected,67,,,2
 n11,n8,Undirected,68,,,2
 n11,n9,Undirected,69,,,2
 n11,n10,Undirected,70,,,2
 n11,n12,Undirected,71,,,2
 n11,n13,Undirected,72,,,2
 n11,n15,Undirected,73,,,2
 n11,n22,Undirected,74,,,2
 n11,n24,Undirected,75,,,2
   n12,n2,Undirected,76,,,2
 n12,n4,Undirected,77,,,2
 n12,n13,Undirected,78,,,2
