Source,Target,Type,Id,Label,timeset,Weight
n0,n12,Undirected,0,,,2
 n0,n14,Undirected,1,,,2
 n0,n15,Undirected,2,,,2
 n0,n19,Undirected,3,,,2
 n0,n23,Undirected,4,,,2
 n0,n24,Undirected,5,,,2
 n0,n27,Undirected,6,,,2
 n0,n30,Undirected,7,,,2
 n0,n32,Undirected,8,,,2
 n0,n37,Undirected,9,,,2
 n0,n38,Undirected,10,,,2
 n0,n43,Undirected,11,,,2
 n0,n44,Undirected,12,,,2
 n0,n53,Undirected,13,,,2
 n0,n56,Undirected,14,,,2
 n0,n59,Undirected,15,,,2
 n0,n61,Undirected,16,,,2
 n0,n64,Undirected,17,,,2
 n0,n66,Undirected,18,,,2
 n0,n75,Undirected,19,,,2
 n0,n76,Undirected,20,,,2
 n0,n77,Undirected,21,,,2
 n0,n84,Undirected,22,,,2
 n0,n85,Undirected,23,,,2
 n0,n87,Undirected,24,,,2
 n0,n93,Undirected,25,,,2
 n0,n97,Undirected,26,,,2
 n0,n98,Undirected,27,,,2
 n0,n100,Undirected,28,,,2
 n0,n101,Undirected,29,,,2
 n0,n104,Undirected,30,,,2
 n0,n106,Undirected,31,,,2
 n0,n108,Undirected,32,,,2
 n0,n113,Undirected,33,,,2
 n0,n126,Undirected,34,,,2
 n0,n127,Undirected,35,,,2
 n0,n135,Undirected,36,,,2
 n0,n139,Undirected,37,,,2
 n0,n151,Undirected,38,,,2
 n0,n154,Undirected,39,,,2
 n0,n167,Undirected,40,,,2
 n0,n169,Undirected,41,,,2
 n0,n173,Undirected,42,,,2
 n0,n186,Undirected,43,,,2
 n0,n188,Undirected,44,,,2
 n0,n190,Undirected,45,,,2
 n0,n191,Undirected,46,,,2
 n0,n202,Undirected,47,,,2
 n0,n206,Undirected,48,,,2
 n0,n207,Undirected,49,,,2
 n0,n208,Undirected,50,,,2
 n0,n211,Undirected,51,,,2
 n0,n213,Undirected,52,,,2
 n0,n216,Undirected,53,,,2
 n0,n218,Undirected,54,,,2
 n0,n221,Undirected,55,,,2
 n0,n222,Undirected,56,,,2
 n0,n223,Undirected,57,,,2
 n0,n231,Undirected,58,,,2
 n0,n233,Undirected,59,,,2
 n0,n235,Undirected,60,,,2
 n0,n236,Undirected,61,,,2
 n0,n237,Undirected,62,,,2
 n0,n239,Undirected,63,,,2
 n0,n241,Undirected,64,,,2
 n0,n242,Undirected,65,,,2
 n0,n246,Undirected,66,,,2
 n0,n247,Undirected,67,,,2
 n0,n248,Undirected,68,,,2
 n0,n250,Undirected,69,,,2
 n0,n253,Undirected,70,,,2
 n0,n254,Undirected,71,,,2
 n0,n259,Undirected,72,,,2
 n0,n261,Undirected,73,,,2
 n0,n273,Undirected,74,,,2
 n0,n287,Undirected,75,,,2
 n0,n293,Undirected,76,,,2
 n0,n300,Undirected,77,,,2
 n0,n302,Undirected,78,,,2
 n0,n305,Undirected,79,,,2
 n0,n306,Undirected,80,,,2
 n0,n308,Undirected,81,,,2
 n0,n309,Undirected,82,,,2
 n0,n313,Undirected,83,,,2
 n0,n316,Undirected,84,,,2
 n0,n317,Undirected,85,,,2
 n0,n319,Undirected,86,,,2
 n0,n320,Undirected,87,,,2
 n0,n323,Undirected,88,,,2
 n0,n326,Undirected,89,,,2
 n0,n336,Undirected,90,,,2
 n0,n339,Undirected,91,,,2
 n0,n341,Undirected,92,,,2
 n0,n342,Undirected,93,,,2
 n0,n345,Undirected,94,,,2
 n0,n346,Undirected,95,,,2
 n0,n349,Undirected,96,,,2
 n0,n352,Undirected,97,,,2
 n0,n355,Undirected,98,,,2
 n0,n358,Undirected,99,,,2
 n0,n359,Undirected,100,,,2
 n0,n362,Undirected,101,,,2
 n0,n363,Undirected,102,,,2
 n0,n365,Undirected,103,,,2
 n0,n370,Undirected,104,,,2
 n0,n373,Undirected,105,,,2
 n0,n377,Undirected,106,,,2
 n0,n379,Undirected,107,,,2
 n0,n384,Undirected,108,,,2
 n0,n390,Undirected,109,,,2
 n0,n393,Undirected,110,,,2
 n0,n395,Undirected,111,,,2
 n0,n396,Undirected,112,,,2
 n0,n399,Undirected,113,,,2
 n0,n400,Undirected,114,,,2
 n0,n404,Undirected,115,,,2
 n0,n408,Undirected,116,,,2
 n0,n409,Undirected,117,,,2
 n0,n413,Undirected,118,,,2
 n0,n418,Undirected,119,,,2
 n0,n419,Undirected,120,,,2
 n0,n420,Undirected,121,,,2
 n0,n421,Undirected,122,,,2
 n0,n423,Undirected,123,,,2
 n0,n428,Undirected,124,,,2
 n0,n429,Undirected,125,,,2
 n0,n430,Undirected,126,,,2
 n0,n439,Undirected,127,,,2
 n0,n440,Undirected,128,,,2
 n0,n443,Undirected,129,,,2
 n0,n448,Undirected,130,,,2
 n0,n449,Undirected,131,,,2
 n0,n450,Undirected,132,,,2
 n0,n465,Undirected,133,,,2
 n0,n469,Undirected,134,,,2
 n0,n471,Undirected,135,,,2
 n0,n482,Undirected,136,,,2
 n0,n494,Undirected,137,,,2
 n0,n495,Undirected,138,,,2
 n0,n497,Undirected,139,,,2
 n0,n499,Undirected,140,,,2
   n1,n12,Undirected,141,,,2
 n1,n14,Undirected,142,,,2
 n1,n15,Undirected,143,,,2
 n1,n17,Undirected,144,,,2
 n1,n22,Undirected,145,,,2
 n1,n24,Undirected,146,,,2
 n1,n26,Undirected,147,,,2
 n1,n27,Undirected,148,,,2
 n1,n28,Undirected,149,,,2
 n1,n29,Undirected,150,,,2
 n1,n30,Undirected,151,,,2
 n1,n34,Undirected,152,,,2
 n1,n36,Undirected,153,,,2
 n1,n51,Undirected,154,,,2
 n1,n54,Undirected,155,,,2
 n1,n60,Undirected,156,,,2
 n1,n65,Undirected,157,,,2
 n1,n67,Undirected,158,,,2
 n1,n78,Undirected,159,,,2
 n1,n92,Undirected,160,,,2
