Source,Target,Type,Id,Label,timeset,Weight
n0 , n1,Undirected,0,,,2
n0 , n59,Undirected,1,,,2
n0 , n17,Undirected,2,,,2
n0 , n9,Undirected,3,,,2
n0 , n26,Undirected,4,,,2
n0 , n37,Undirected,5,,,2
n0 , n35,Undirected,6,,,2
n0 , n25,Undirected,7,,,2
n0 , n94,Undirected,8,,,2
n0 , n36,Undirected,9,,,2
n0 , n97,Undirected,10,,,2
n0 , n66,Undirected,11,,,2
n0 , n87,Undirected,12,,,2
n0 , n39,Undirected,13,,,2
n0 , n24,Undirected,14,,,2
n0 , n79,Undirected,15,,,2
n0 , n3,Undirected,16,,,2
n0 , n8,Undirected,17,,,2
n0 , n43,Undirected,18,,,2
n0 , n75,Undirected,19,,,2
n0 , n82,Undirected,20,,,2
n0 , n7,Undirected,21,,,2
n0 , n51,Undirected,22,,,2
n1 , n59,Undirected,23,,,2
n1 , n0,Undirected,24,,,2
n1 , n17,Undirected,25,,,2
n1 , n9,Undirected,26,,,2
n1 , n37,Undirected,27,,,2
n1 , n35,Undirected,28,,,2
n1 , n25,Undirected,29,,,2
n1 , n94,Undirected,30,,,2
n1 , n36,Undirected,31,,,2
n1 , n97,Undirected,32,,,2
n1 , n66,Undirected,33,,,2
n1 , n87,Undirected,34,,,2
n1 , n16,Undirected,35,,,2
n1 , n24,Undirected,36,,,2
n1 , n79,Undirected,37,,,2
n1 , n75,Undirected,38,,,2
n1 , n7,Undirected,39,,,2
n1 , n51,Undirected,40,,,2
n2 , n76,Undirected,41,,,2
n2 , n57,Undirected,42,,,2
n2 , n58,Undirected,43,,,2
n2 , n5,Undirected,44,,,2
n2 , n81,Undirected,45,,,2
n2 , n31,Undirected,46,,,2
n2 , n69,Undirected,47,,,2
n2 , n89,Undirected,48,,,2
n2 , n40,Undirected,49,,,2
n2 , n44,Undirected,50,,,2
n2 , n49,Undirected,51,,,2
n2 , n23,Undirected,52,,,2
n2 , n95,Undirected,53,,,2
n2 , n4,Undirected,54,,,2
n2 , n34,Undirected,55,,,2
n2 , n6,Undirected,56,,,2
n2 , n18,Undirected,57,,,2
n2 , n78,Undirected,58,,,2
n2 , n27,Undirected,59,,,2
n2 , n61,Undirected,60,,,2
n2 , n96,Undirected,61,,,2
n2 , n52,Undirected,62,,,2
n2 , n90,Undirected,63,,,2
n3 , n59,Undirected,64,,,2
n3 , n0,Undirected,65,,,2
n3 , n37,Undirected,66,,,2
n3 , n46,Undirected,67,,,2
n3 , n35,Undirected,68,,,2
n3 , n25,Undirected,69,,,2
n3 , n36,Undirected,70,,,2
n3 , n97,Undirected,71,,,2
n3 , n66,Undirected,72,,,2
n3 , n87,Undirected,73,,,2
n3 , n85,Undirected,74,,,2
n3 , n8,Undirected,75,,,2
n3 , n63,Undirected,76,,,2
n3 , n43,Undirected,77,,,2
n3 , n75,Undirected,78,,,2
n3 , n82,Undirected,79,,,2
n4 , n57,Undirected,80,,,2
n4 , n9,Undirected,81,,,2
n4 , n5,Undirected,82,,,2
n4 , n31,Undirected,83,,,2
n4 , n89,Undirected,84,,,2
n4 , n26,Undirected,85,,,2
n4 , n49,Undirected,86,,,2
n4 , n18,Undirected,87,,,2
n4 , n27,Undirected,88,,,2
n4 , n52,Undirected,89,,,2
n4 , n90,Undirected,90,,,2
n4 , n91,Undirected,91,,,2
n4 , n51,Undirected,92,,,2
n4 , n41,Undirected,93,,,2
n4 , n81,Undirected,94,,,2
n4 , n23,Undirected,95,,,2
n4 , n95,Undirected,96,,,2
n4 , n36,Undirected,97,,,2
n4 , n10,Undirected,98,,,2
n4 , n78,Undirected,99,,,2
n4 , n16,Undirected,100,,,2
n4 , n39,Undirected,101,,,2
n4 , n2,Undirected,102,,,2
n4 , n75,Undirected,103,,,2
n4 , n77,Undirected,104,,,2
n5 , n57,Undirected,105,,,2
n5 , n31,Undirected,106,,,2
n5 , n69,Undirected,107,,,2
n5 , n89,Undirected,108,,,2
n5 , n98,Undirected,109,,,2
n5 , n21,Undirected,110,,,2
n5 , n18,Undirected,111,,,2
n5 , n73,Undirected,112,,,2
n5 , n83,Undirected,113,,,2
n5 , n88,Undirected,114,,,2
n5 , n52,Undirected,115,,,2
n5 , n90,Undirected,116,,,2
n5 , n91,Undirected,117,,,2
n5 , n38,Undirected,118,,,2
n5 , n32,Undirected,119,,,2
n5 , n81,Undirected,120,,,2
n5 , n23,Undirected,121,,,2
n5 , n60,Undirected,122,,,2
n5 , n72,Undirected,123,,,2
n5 , n4,Undirected,124,,,2
n5 , n65,Undirected,125,,,2
n5 , n78,Undirected,126,,,2
n5 , n15,Undirected,127,,,2
n5 , n16,Undirected,128,,,2
n5 , n2,Undirected,129,,,2
n5 , n53,Undirected,130,,,2
n6 , n76,Undirected,131,,,2
n6 , n34,Undirected,132,,,2
n6 , n18,Undirected,133,,,2
n6 , n58,Undirected,134,,,2
n6 , n81,Undirected,135,,,2
n6 , n69,Undirected,136,,,2
n6 , n2,Undirected,137,,,2
n6 , n44,Undirected,138,,,2
n6 , n61,Undirected,139,,,2
n6 , n47,Undirected,140,,,2
n6 , n45,Undirected,141,,,2
n6 , n90,Undirected,142,,,2
n7 , n1,Undirected,143,,,2
n7 , n59,Undirected,144,,,2
n7 , n0,Undirected,145,,,2
n7 , n17,Undirected,146,,,2
n7 , n37,Undirected,147,,,2
n7 , n35,Undirected,148,,,2
n7 , n25,Undirected,149,,,2
n7 , n94,Undirected,150,,,2
n7 , n97,Undirected,151,,,2
n7 , n66,Undirected,152,,,2
n7 , n87,Undirected,153,,,2
n7 , n24,Undirected,154,,,2
n7 , n79,Undirected,155,,,2
n7 , n8,Undirected,156,,,2
n8 , n59,Undirected,157,,,2
n8 , n0,Undirected,158,,,2
n8 , n37,Undirected,159,,,2
n8 , n35,Undirected,160,,,2
n8 , n25,Undirected,161,,,2
n8 , n94,Undirected,162,,,2
n8 , n36,Undirected,163,,,2
n8 , n97,Undirected,164,,,2
n8 , n66,Undirected,165,,,2
n8 , n87,Undirected,166,,,2
n8 , n79,Undirected,167,,,2
n8 , n3,Undirected,168,,,2
n8 , n85,Undirected,169,,,2
n8 , n43,Undirected,170,,,2
n8 , n82,Undirected,171,,,2
n8 , n7,Undirected,172,,,2
n9 , n1,Undirected,173,,,2
n9 , n57,Undirected,174,,,2
n9 , n0,Undirected,175,,,2
n9 , n17,Undirected,176,,,2
n9 , n31,Undirected,177,,,2
n9 , n89,Undirected,178,,,2
n9 , n26,Undirected,179,,,2
n9 , n23,Undirected,180,,,2
n9 , n94,Undirected,181,,,2
n9 , n4,Undirected,182,,,2
n9 , n36,Undirected,183,,,2
