Source,Target,Type,Id,Label,timeset,Weight
n0 , n17,Undirected,0,,,2
n0 , n20,Undirected,1,,,2
n0 , n12,Undirected,2,,,2
n1 , n11,Undirected,3,,,2
n1 , n8,Undirected,4,,,2
n1 , n18,Undirected,5,,,2
n1 , n13,Undirected,6,,,2
n1 , n29,Undirected,7,,,2
n1 , n6,Undirected,8,,,2
n1 , n3,Undirected,9,,,2
n1 , n26,Undirected,10,,,2
n2 , n18,Undirected,11,,,2
n2 , n28,Undirected,12,,,2
n2 , n13,Undirected,13,,,2
n2 , n29,Undirected,14,,,2
n2 , n3,Undirected,15,,,2
n2 , n26,Undirected,16,,,2
n3 , n8,Undirected,17,,,2
n3 , n18,Undirected,18,,,2
n3 , n28,Undirected,19,,,2
n3 , n24,Undirected,20,,,2
n3 , n1,Undirected,21,,,2
n3 , n13,Undirected,22,,,2
n3 , n23,Undirected,23,,,2
n3 , n2,Undirected,24,,,2
n3 , n29,Undirected,25,,,2
n4 , n11,Undirected,26,,,2
n4 , n22,Undirected,27,,,2
n4 , n24,Undirected,28,,,2
n4 , n27,Undirected,29,,,2
n4 , n16,Undirected,30,,,2
n4 , n9,Undirected,31,,,2
n4 , n10,Undirected,32,,,2
n4 , n6,Undirected,33,,,2
n4 , n7,Undirected,34,,,2
n4 , n25,Undirected,35,,,2
n4 , n14,Undirected,36,,,2
n5 , n28,Undirected,37,,,2
n5 , n23,Undirected,38,,,2
n6 , n11,Undirected,39,,,2
n6 , n22,Undirected,40,,,2
n6 , n8,Undirected,41,,,2
n6 , n4,Undirected,42,,,2
n6 , n24,Undirected,43,,,2
n6 , n16,Undirected,44,,,2
n6 , n1,Undirected,45,,,2
n6 , n29,Undirected,46,,,2
n6 , n25,Undirected,47,,,2
n7 , n22,Undirected,48,,,2
n7 , n4,Undirected,49,,,2
n7 , n24,Undirected,50,,,2
n7 , n27,Undirected,51,,,2
n7 , n16,Undirected,52,,,2
n7 , n9,Undirected,53,,,2
n7 , n10,Undirected,54,,,2
n7 , n25,Undirected,55,,,2
n7 , n14,Undirected,56,,,2
n8 , n11,Undirected,57,,,2
n8 , n18,Undirected,58,,,2
n8 , n24,Undirected,59,,,2
n8 , n1,Undirected,60,,,2
n8 , n13,Undirected,61,,,2
n8 , n29,Undirected,62,,,2
n8 , n6,Undirected,63,,,2
n8 , n3,Undirected,64,,,2
n9 , n22,Undirected,65,,,2
n9 , n4,Undirected,66,,,2
n9 , n27,Undirected,67,,,2
n9 , n16,Undirected,68,,,2
n9 , n10,Undirected,69,,,2
